# labeled articles added,active learning (sample around 0.5),active learning (random sample),fake label 0.5,fake label random,wss al,wss al random,wss fl,wss fl random
0,,,0.233508465,0.233508465,,,0.716491535,0.716491535
100,0.350058343,0.350058343,0.221833041,0.233508465,0.599941657,0.599941657,0.728166959,0.716491535
200,0.332555426,0.338389731,0.221833041,0.227670753,0.617444574,0.611610269,0.728166959,0.722329247
300,0.320886815,0.32672112,0.21599533,0.221833041,0.629113185,0.62327888,0.73400467,0.728166959
400,0.297549592,0.303383897,0.210157618,0.233508465,0.652450408,0.646616103,0.739842382,0.716491535
500,0.28588098,0.297549592,0.210157618,0.239346176,0.66411902,0.652450408,0.739842382,0.710653824
600,0.280046674,0.280046674,0.210157618,0.227670753,0.669953326,0.669953326,0.739842382,0.722329247
700,0.268378063,0.274212369,0.21599533,0.233508465,0.681621937,0.675787631,0.73400467,0.716491535
800,0.256709451,0.262543757,0.210157618,0.239346176,0.693290549,0.687456243,0.739842382,0.710653824
900,0.250875146,0.262543757,0.204319907,0.233508465,0.699124854,0.687456243,0.745680093,0.716491535
1000,0.245040841,0.256709451,0.204319907,0.233508465,0.704959159,0.693290549,0.745680093,0.716491535
1100,0.245040841,0.256709451,0.21599533,0.245183888,0.704959159,0.693290549,0.73400467,0.704816112
1200,0.245040841,0.245040841,0.210157618,0.239346176,0.704959159,0.704959159,0.739842382,0.710653824
1300,0.233372229,0.239206534,0.210157618,0.233508465,0.716627771,0.710793466,0.739842382,0.716491535
1400,0.233372229,0.239206534,0.204319907,0.227670753,0.716627771,0.710793466,0.745680093,0.722329247
1500,0.239206534,0.227537923,0.204319907,0.239346176,0.710793466,0.722462077,0.745680093,0.710653824
1600,0.233372229,0.233372229,0.210157618,0.227670753,0.716627771,0.716627771,0.739842382,0.722329247
1700,0.221703618,0.227537923,0.198482195,0.227670753,0.728296382,0.722462077,0.751517805,0.722329247
1800,0.215869311,0.227537923,0.210157618,0.227670753,0.734130689,0.722462077,0.739842382,0.722329247
1900,0.215869311,0.221703618,0.198482195,0.239346176,0.734130689,0.728296382,0.751517805,0.710653824
2000,0.2042007,0.221703618,0.204319907,0.239346176,0.7457993,0.728296382,0.745680093,0.710653824
