INSTANCE_ID,REFERENCE_ID,level_all_num,level1_num,level2_num,level3_num,level4_num,level5_num,level6_num,level1_char,level2_char,level3_char,level4_char,level5_char,level6_char,ANCHOR_TEXT,CONTEXT_PARAGRAPH
1,14681,1.1,1,1,.,.,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Introduction,,,,,"NAPCA, 1970","This Appendix reviews scientific advances in atmospheric ozone research relevant to this review of the NAAQS for ozone and other photochemical oxidants and the related air quality criteria. Strong emphasis is placed on new evidence concerning the contributions of ozone from natural and non-U.S. sources. Ozone is one of a group of photochemical oxidants formed by atmospheric photochemical reactions of hydrocarbons with nitrogen oxides in the presence of sunlight. Photochemical oxidants were defined in the 1970 Air Quality Criteria Document as compounds found in the atmosphere that oxidize a reference material such as potassium iodide that is not oxidized by atmospheric oxygen (NAPCA, 1970). Other photochemical oxidants formed by photochemical reactions of hydrocarbons and nitrogen oxides include nitrogen dioxide (NO2), peroxyacetyl nitrate (PAN), hydrogen peroxide, nitrous acid, and organic peroxides. Close agreement between ozone measurements and the photochemical oxidant measurements upon which the early NAAQS was based indicated that the contribution of these other oxidant species was very small (NAPCA, 1970). Shortly after, measurements of photochemical oxidants as a class of pollutant species became increasingly rare, and in 1979 ozone became the NAAQS indicator for air pollutant photochemical oxidants. Ozone is the only photochemical oxidant other than NO2 that is routinely monitored. The current state of scientific understanding concerning NO2 is addressed in the 2016 ISA for the Oxides of Nitrogen―Health Based Criteria (U.S. EPA, 2016c). Data for other photochemical oxidants are generally derived from a few special field studies. Extensive national scale data on temporal or geospatial concentration patterns of these other oxidants are scarce. Moreover, few studies of the health and welfare impacts of other photochemical oxidants beyond ozone have been identified by literature searches conducted for other recent ozone assessments (U.S. EPA, 2013, 2006). For these reasons, discussion of photochemical oxidants in this document focuses on ozone."
2,14681,1.1,1,1,.,.,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Introduction,,,,,"NAPCA, 1970","This Appendix reviews scientific advances in atmospheric ozone research relevant to this review of the NAAQS for ozone and other photochemical oxidants and the related air quality criteria. Strong emphasis is placed on new evidence concerning the contributions of ozone from natural and non-U.S. sources. Ozone is one of a group of photochemical oxidants formed by atmospheric photochemical reactions of hydrocarbons with nitrogen oxides in the presence of sunlight. Photochemical oxidants were defined in the 1970 Air Quality Criteria Document as compounds found in the atmosphere that oxidize a reference material such as potassium iodide that is not oxidized by atmospheric oxygen (NAPCA, 1970). Other photochemical oxidants formed by photochemical reactions of hydrocarbons and nitrogen oxides include nitrogen dioxide (NO2), peroxyacetyl nitrate (PAN), hydrogen peroxide, nitrous acid, and organic peroxides. Close agreement between ozone measurements and the photochemical oxidant measurements upon which the early NAAQS was based indicated that the contribution of these other oxidant species was very small (NAPCA, 1970). Shortly after, measurements of photochemical oxidants as a class of pollutant species became increasingly rare, and in 1979 ozone became the NAAQS indicator for air pollutant photochemical oxidants. Ozone is the only photochemical oxidant other than NO2 that is routinely monitored. The current state of scientific understanding concerning NO2 is addressed in the 2016 ISA for the Oxides of Nitrogen―Health Based Criteria (U.S. EPA, 2016c). Data for other photochemical oxidants are generally derived from a few special field studies. Extensive national scale data on temporal or geospatial concentration patterns of these other oxidants are scarce. Moreover, few studies of the health and welfare impacts of other photochemical oxidants beyond ozone have been identified by literature searches conducted for other recent ozone assessments (U.S. EPA, 2013, 2006). For these reasons, discussion of photochemical oxidants in this document focuses on ozone."
3,6553457,1.1,1,1,.,.,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Introduction,,,,,"U.S. EPA, 2016c","This Appendix reviews scientific advances in atmospheric ozone research relevant to this review of the NAAQS for ozone and other photochemical oxidants and the related air quality criteria. Strong emphasis is placed on new evidence concerning the contributions of ozone from natural and non-U.S. sources. Ozone is one of a group of photochemical oxidants formed by atmospheric photochemical reactions of hydrocarbons with nitrogen oxides in the presence of sunlight. Photochemical oxidants were defined in the 1970 Air Quality Criteria Document as compounds found in the atmosphere that oxidize a reference material such as potassium iodide that is not oxidized by atmospheric oxygen (NAPCA, 1970). Other photochemical oxidants formed by photochemical reactions of hydrocarbons and nitrogen oxides include nitrogen dioxide (NO2), peroxyacetyl nitrate (PAN), hydrogen peroxide, nitrous acid, and organic peroxides. Close agreement between ozone measurements and the photochemical oxidant measurements upon which the early NAAQS was based indicated that the contribution of these other oxidant species was very small (NAPCA, 1970). Shortly after, measurements of photochemical oxidants as a class of pollutant species became increasingly rare, and in 1979 ozone became the NAAQS indicator for air pollutant photochemical oxidants. Ozone is the only photochemical oxidant other than NO2 that is routinely monitored. The current state of scientific understanding concerning NO2 is addressed in the 2016 ISA for the Oxides of Nitrogen―Health Based Criteria (U.S. EPA, 2016c). Data for other photochemical oxidants are generally derived from a few special field studies. Extensive national scale data on temporal or geospatial concentration patterns of these other oxidants are scarce. Moreover, few studies of the health and welfare impacts of other photochemical oxidants beyond ozone have been identified by literature searches conducted for other recent ozone assessments (U.S. EPA, 2013, 2006). For these reasons, discussion of photochemical oxidants in this document focuses on ozone."
4,1508492,1.1,1,1,.,.,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Introduction,,,,,"U.S. EPA, 2013","This Appendix reviews scientific advances in atmospheric ozone research relevant to this review of the NAAQS for ozone and other photochemical oxidants and the related air quality criteria. Strong emphasis is placed on new evidence concerning the contributions of ozone from natural and non-U.S. sources. Ozone is one of a group of photochemical oxidants formed by atmospheric photochemical reactions of hydrocarbons with nitrogen oxides in the presence of sunlight. Photochemical oxidants were defined in the 1970 Air Quality Criteria Document as compounds found in the atmosphere that oxidize a reference material such as potassium iodide that is not oxidized by atmospheric oxygen (NAPCA, 1970). Other photochemical oxidants formed by photochemical reactions of hydrocarbons and nitrogen oxides include nitrogen dioxide (NO2), peroxyacetyl nitrate (PAN), hydrogen peroxide, nitrous acid, and organic peroxides. Close agreement between ozone measurements and the photochemical oxidant measurements upon which the early NAAQS was based indicated that the contribution of these other oxidant species was very small (NAPCA, 1970). Shortly after, measurements of photochemical oxidants as a class of pollutant species became increasingly rare, and in 1979 ozone became the NAAQS indicator for air pollutant photochemical oxidants. Ozone is the only photochemical oxidant other than NO2 that is routinely monitored. The current state of scientific understanding concerning NO2 is addressed in the 2016 ISA for the Oxides of Nitrogen―Health Based Criteria (U.S. EPA, 2016c). Data for other photochemical oxidants are generally derived from a few special field studies. Extensive national scale data on temporal or geospatial concentration patterns of these other oxidants are scarce. Moreover, few studies of the health and welfare impacts of other photochemical oxidants beyond ozone have been identified by literature searches conducted for other recent ozone assessments (U.S. EPA, 2013, 2006). For these reasons, discussion of photochemical oxidants in this document focuses on ozone."
5,88089,1.1,1,1,.,.,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Introduction,,,,,2006,"This Appendix reviews scientific advances in atmospheric ozone research relevant to this review of the NAAQS for ozone and other photochemical oxidants and the related air quality criteria. Strong emphasis is placed on new evidence concerning the contributions of ozone from natural and non-U.S. sources. Ozone is one of a group of photochemical oxidants formed by atmospheric photochemical reactions of hydrocarbons with nitrogen oxides in the presence of sunlight. Photochemical oxidants were defined in the 1970 Air Quality Criteria Document as compounds found in the atmosphere that oxidize a reference material such as potassium iodide that is not oxidized by atmospheric oxygen (NAPCA, 1970). Other photochemical oxidants formed by photochemical reactions of hydrocarbons and nitrogen oxides include nitrogen dioxide (NO2), peroxyacetyl nitrate (PAN), hydrogen peroxide, nitrous acid, and organic peroxides. Close agreement between ozone measurements and the photochemical oxidant measurements upon which the early NAAQS was based indicated that the contribution of these other oxidant species was very small (NAPCA, 1970). Shortly after, measurements of photochemical oxidants as a class of pollutant species became increasingly rare, and in 1979 ozone became the NAAQS indicator for air pollutant photochemical oxidants. Ozone is the only photochemical oxidant other than NO2 that is routinely monitored. The current state of scientific understanding concerning NO2 is addressed in the 2016 ISA for the Oxides of Nitrogen―Health Based Criteria (U.S. EPA, 2016c). Data for other photochemical oxidants are generally derived from a few special field studies. Extensive national scale data on temporal or geospatial concentration patterns of these other oxidants are scarce. Moreover, few studies of the health and welfare impacts of other photochemical oxidants beyond ozone have been identified by literature searches conducted for other recent ozone assessments (U.S. EPA, 2013, 2006). For these reasons, discussion of photochemical oxidants in this document focuses on ozone."
6,1508492,1.1,1,1,.,.,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Introduction,,,,,"U.S. EPA, 2013","Material in this Appendix is based primarily on a systematic literature review of sources, chemistry, estimation methods, and concentration trends of ozone from natural and non-U.S. sources following procedures described in Appendix 10. For context, brief summaries of recent trends in U.S. anthropogenic ozone precursor emissions and ozone concentration trends from available U.S. EPA databases are also included. In addition, winter ozone, halogen chemistry, satellite measurements, and chemical transport modeling are identified as research areas in which progress had been made since publication of the 2013 Ozone ISA (U.S. EPA, 2013). For these topics, brief summaries of the most relevant developments are also provided."
7,1723551,1.2.1.1,1,2,1,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Ozone Metrics,Ambient Air Concentration Metrics,,,"Dennis et al., 2010","Seasonal and monthly averages of MDA1, MDA8, and DA24 are used for long-term metrics in epidemiologic studies. Hourly ozone concentrations and longer term averages of these metrics are also used for atmospheric model evaluation (Dennis et al., 2010)."
8,1508492,1.2.1.2,1,2,1,2,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Ozone Metrics,Ecosystem Exposure Metrics,,,"U.S. EPA, 2013","For ecosystem exposure, cumulative exposure indicators are frequently used that extend over longer time periods, such as growing season or year (U.S. EPA, 2013). The W126, SUM06, and AOTx exposure indices are metrics used for ecosystem exposure. Further details on these exposure indices are provided in the 2013 Ozone ISA (U.S. EPA, 2013) and Section 8.13.1."
9,1508492,1.2.1.2,1,2,1,2,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Ozone Metrics,Ecosystem Exposure Metrics,,,"U.S. EPA, 2013","For ecosystem exposure, cumulative exposure indicators are frequently used that extend over longer time periods, such as growing season or year (U.S. EPA, 2013). The W126, SUM06, and AOTx exposure indices are metrics used for ecosystem exposure. Further details on these exposure indices are provided in the 2013 Ozone ISA (U.S. EPA, 2013) and Section 8.13.1."
10,2526216,1.2.2.1,1,2,2,1,.,.,"APPENDIX 1 | ATMOSPHERIC SOURCE, CHEMISTRY, METEOROLOGY, TRENDS, AND BACKGROUND OZONE",Metrics and Definitions,Background Ozone Definitions,U.S. Background (USB) Ozone,,,"Fiore et al., 2014","The distinction between U.S. anthropogenic and USB sources is not always straightforward, with ambiguities or debate regarding U.S. anthropogenic methane (Fiore et al., 2014), U.S. anthropogenic emissions that have recirculated globally (McDonald-Buller et al., 2011), international shipping and aviation (U.S. EPA, 2015), prescribed fires (U.S. EPA, 2015), and soil emissions (Rasool et al., 2016); see Section 1.3.2.1."
