,header_num,header_text,ref_text,hero_id,REFERENCE_ID,PMID,WOSID,DOI,TITLE,AUTHORS,YEAR,ABSTRACT
228,3.2.1,Sources of Precursors Involved in O3 Formation,Harley et al. (2005: http://hero.epa.gov/index.cfm?action=search.view&reference_id=88154,88154,88154,16082967.0,WOS:000230536200037,10.1021/es048172+,Changes in motor vehicle emissions on diurnal to decadal time scales and effects on atmospheric composition,"Harley, RA; Marr, LC; Lehner, JK; Giddings, SN",2005.0,"Emissions from gasoline and diesel engines vary on time scales including diurnal, weekly, and decadal. Temporal patterns differ for these two engine types that are used predominantly for passenger travel and goods movement, respectively. Rapid growth in diesel fuel use and decreasing NOx emission rates from gasoline engines have led to altered emission profiles. During the 1990s, on-road use of diesel fuel grew 3 times faster than gasoline. Over the same time period, the NOx emission rate from gasoline engines in California was reduced by a factor of ~2, while the NOx emission rate from diesel engines decreased only slightly. Diesel engines therefore grew in both relative and absolute terms as a source of NOx, accounting for about half of all on-road NOx emissions as of 2000. Diesel truck emissions decrease by 60-80% on weekends. Counterintuitive responses to these emission changes are seen in measured concentrations of ozone. In contrast, elemental carbon (EC) concentrations decrease on weekends as expected. Weekly and diurnal patterns in diesel truck activity contribute to variability in the ratio of organic carbon (OC) to EC in primary source emissions, and this could be a source of bias in assessments of the importance of secondary organic aerosol."
233,3.2.1,Sources of Precursors Involved in O3 Formation,Bishop and Stedman (2008: http://hero.epa.gov/index.cfm?action=search.view&reference_id=194670,194670,194670,18441816.0,WOS:000253521300045,10.1021/es702413b,A decade of on-road emissions measurements,"Bishop, GA; Stedman, DH",2008.0,"A multiyear, on-road emission measurement program carried out in the cities of Chicago, Illinois; Denver, Colorado; Los Angeles (LA), California; and Phoenix, Arizona shows large, fuel-specific tailpipe emissions reductions at all of the sites for carbon monoxide (CO), hydrocarbons (HC), and nitric oxide (NO). CO emissions decreased between 56% (Denver) and 71% (Chicago), HC emissions decrease between 27% (Phoenix) and 63% (Denver), and NO emissions have dropped between 48% (West LA) and 68% (Chicago). Three observed factors common to all of the sites are that the emission reductions are occurring in vehicles of all ages, that the influence of engine load on fuel-specific emissions, especially for CO and NO, is reduced and that fleet-averaged emission deterioration is near zero for model years newer than 2001 and older than 1990. These nationwide data sets imply that the majority of these on-road emissions reductions are the result of continued improvements in function and durability of vehicle emission control systems and that inspection and maintenance and fuel reformulation programs have only played a minor role."
236,3.2.1,Sources of Precursors Involved in O3 Formation,Pokharel et al. (2003: http://hero.epa.gov/index.cfm?action=search.view&reference_id=53740,53740,53740,14655694.0,WOS:000186601300003,10.1021/es026340x,Emissions reductions as a result of automobile improvement,"Pokharel, SS; Bishop, GA; Stedman, DH",2003.0,"#Remote sensing of light duty vehicle on-road tailpipe exhaust has been used to measure on-road mass emissions of automobile fleets in Denver for 13 years and in two other U.S. cities for 5 years. Analysis of these fleets shows that newer automobiles, during a period of fairly constant new car standards, have become continually less polluting independent of measurement location. Improving emissions control technology spurred by federal regulations is thought to have brought about these trends."
238,3.2.1,Sources of Precursors Involved in O3 Formation,Burgard et al. (2006: http://hero.epa.gov/index.cfm?action=search.view&reference_id=193222,193222,193222,12368155.0,WOS:000241941700014,10.1021/es060989a,Remote sensing of in-use heavy-duty diesel trucks,"Burgard, DA; Bishop, GA; Stedman, DH; Gessner, VH; Daeschlein, C",2006.0,"On-road measurements in 2005 of carbon monoxide (CO), hydrocarbons, nitric oxide, nitrogen dioxide, and sulfur dioxide from 1641 individually identified heavy-duty diesel trucks at two locations in Colorado are reported. Carbon monoxide and nitric oxide show increasing emissions with increased altitude. Oxides of nitrogen (NOx) emissions have decreased with more recent model years over the last 10 years but are the same as vehicles that are 20 years old. At the Golden, CO site, there was a statistically significant decrease in fleet emissions of CO and NOx since a similar study in 1999. There was no emission trend for CO or NOx with gross vehicle weight or odometer in units of grams of pollutant per kilogram of fuel consumed. Data from this study suggest that on-road remote sensing can detect illegal, high sulfur fuel use from individual heavy-duty diesel trucks. Ammonia emissions from this study were below the detection limit of the instrument but will be useful as a baseline value for future comparison."
240,3.2.1,Sources of Precursors Involved in O3 Formation,"Goldstein and Galbally, 2007: http://hero.epa.gov/index.cfm?action=search.view&reference_id=193247",193247,193247,17396635.0,WOS:000244467500012,10.1021/es072476p,Known and unexplored organic constituents in the earth?s atmosphere,"Goldstein, A; Galbally, I",2007.0,
242,3.2.1,Sources of Precursors Involved in O3 Formation,"Inman et al., 1971: http://hero.epa.gov/index.cfm?action=search.view&reference_id=10972",10972,10972,17747352.0,WOS:A1971J570500012,10.1126/science.172.3989.1229,Soil: A natural sink for carbon monoxide,"Inman, RE; Ingersoll, RB; Levy, EA",1971.0,"A potting soil mixture depleted carbon monoxide in a test atmosphere from a concentration of 120 parts per million to near zero within 3 hours. Maximum activity occurred at 30?C. Steam sterilization of the soil, the addition of antibiotics or 10 percent (by weight) saline solution, and anaerobic conditions all prevented carbon monoxide uptake. Sterilized soil inoculated with nonsterile soil acquired activity with time. Samples of various natural soils differed in their ability to remove carbon monoxide from the air. Acidic soils with a high content of organic matter were generally the most active. The soil's ability to remove carbon monoxide from the atmosphere is ascribed to the activity of soil micro-organisms."
251,3.2.2,Gas Phase Reactions Leading to O3 Formation,Mollner et al. (2010: http://hero.epa.gov/index.cfm?action=search.view&reference_id=665393,665393,665393,21030650.0,WOS:000283580600040,10.1126/science.1193030,Rate of gas phase association of hydroxyl radical and nitrogen dioxide,"Mollner, AK; Valluvadasan, S; Feng, L; Sprague, MK; Okumura, M; Milligan, DB; Bloss, WJ; Sander, SP; Martien, PT; Harley, RA; McCoy, AB; Carter, WRL",2010.0,"The reaction of OH and NO2 to form gaseous nitric acid (HONO2) is among the most influential in atmospheric chemistry. Despite its importance, the rate coefficient remains poorly determined under tropospheric conditions because of difficulties in making laboratory rate measurements in air at 760 torr and uncertainties about a secondary channel producing peroxynitrous acid (HOONO). We combined two sensitive laser spectroscopy techniques to measure the overall rate of both channels and the partitioning between them at 25?C and 760 torr. The result is a significantly more precise value of the rate constant for the HONO2 formation channel, 9.2 (?0.4) x 10?12 cm3 molecule?1 s?1 (1 SD) at 760 torr of air, which lies toward the lower end of the previously established range. We demonstrate the impact of the revised value on photochemical model predictions of ozone concentrations in the Los Angeles airshed."
316,3.2.2,Gas Phase Reactions Leading to O3 Formation,"Peeters and Müller, 2010: http://hero.epa.gov/index.cfm?action=search.view&reference_id=749706",749706,749706,20882226.0,WOS:000283262400041,10.1039/C0CP00811G,HOx radical regeneration in isoprene oxidation via peroxy radical isomerisations. II: Experimental evidence and global impact,"Peeters, J; Muller, JF",2010.0,"A consistent body of experimental evidence from work of other groups is presented in support of the novel, theoretically based, isopreneoxidation mechanism we recently proposed to rationalize the unexpectedly high OH concentrations observed over areas with high isoprene emissions. Some explicit or implicit criticisms on the new mechanism are addressed. A particular photochemical mechanism is newly proposed for the OH-regenerating photolysis of the crucial hydroperoxy-methyl-butenals (HPALDs), formed by isomerisation of the initial isoprenehydroxy-peroxy radicals, that rationalizes a quantum yield close to 1. A similar photolysis mechanism of the resulting photolabile peroxy-acid-aldehydes (PACALDs) is shown to generate ample additional OH. Global modeling demonstrates the major importance of the new chemistry for the oxidizing capacity of the atmosphere over continents. The globally averaged yield of the HPALDs in the oxidation of isoprene by OH is estimated to be of the order of 0.6. The isomerisation reactions of isoprene peroxy radicals are found to result in modelled [OH] increases in the planetary boundary layer by up to a factor of 3, in agreement with the reported observations as in the Amazon basin."
317,3.2.2,Gas Phase Reactions Leading to O3 Formation,"Peeters et al., 2009: http://hero.epa.gov/index.cfm?action=search.view&reference_id=749705",749705,749705,19588016.0,WOS:000268034900013,10.1039/B908511D,HOx radical regeneration in the oxidation of isoprene,"Peeters, J; Nguyen, TL; Vereecken, L",2009.0,"We propose, and quantify from first principles, two novel HO(x)-regenerating unimolecular reactions in isoprene oxidation, which are estimated to yield in pristine tropical forest conditions about 0.7 HO(2) and 0.03 OH radicals per isoprene oxidized; it is further argued that the photolabile coproduct of HO(2) can be a major source of OH, with a yield of the order of 1. The newly proposed chemistry could provide a rationalization for the unexpectedly high OH concentrations often observed in forested environments, such as over the Amazon forest in the recent Gabriel campaign."
318,3.2.2,Gas Phase Reactions Leading to O3 Formation,Hofzumahaus et al. (2009: http://hero.epa.gov/index.cfm?action=search.view&reference_id=608055,608055,608055,19498111.0,WOS:000267338200037,10.1126/science.1164566,Amplified trace gas removal in the troposphere,"Hofzumahaus, A; Rohrer, F; Keding, L; Bohn, B; Brauers, T; Chih-Chung, C; Fuchs, H; Holland, F; Kita, K; Kondo, Y; Xin, L; Shengrong, L; Min, S; Limin, Z; Wahner, A; Yuanhang, Z",2009.0,"The degradation of trace gases and pollutants in the troposphere is dominated by their reaction with hydroxyl radicals (OH). The importance of OH rests on its high reactivity, its ubiquitous photochemical production in the sunlit atmosphere, and most importantly on its regeneration in the oxidation chain of the trace gases. In the current understanding, the recycling of OH proceeds through HO2 reacting with NO, thereby forming ozone. A recent field campaign in the Pearl River Delta, China, quantified tropospheric OH and HO2 concentrations and turnover rates by direct measurements. We report that concentrations of OH were three to five times greater than expected, and we propose the existence of a pathway for the regeneration of OH independent of NO, which amplifies the degradation of pollutants without producing ozone. [ABSTRACT FROM AUTHOR] Copyright of Science is the property of American Association for the Advancement of Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)"
