REFERENCE_ID,PMID,Label,Score
1278754,22896588,1,0.945430433
628062,20540624,1,0.944776787
2331615,24101168,0,0.934804084
199751,19731972,0,0.926123845
597507,19525390,0,0.923209057
93104,17497527,0,0.922758263
749408,21494635,1,0.92108552
383972,19778178,1,0.920175959
666324,20883109,0,0.917876907
786573,21672679,0,0.916401305
626033,20507901,0,0.914707512
2080236,24090029,0,0.914250883
195869,18301177,0,0.914165493
596386,19158411,0,0.913805347
2241842,23761957,1,0.909383855
3010911,26017067,0,0.908961744
782801,21700916,1,0.90808558
192359,19165401,1,0.896112251
197202,19395667,1,0.895655744
3606804,27332675,1,0.894233209
386252,20159246,1,0.894173799
195752,17325970,0,0.893199172
1255125,22521098,0,0.8927347
2099823,23404900,1,0.891060877
191914,19672410,1,0.890803567
2348699,24747248,0,0.888845349
1258302,22642289,1,0.886733946
199330,18082136,0,0.885565479
700062,21112090,0,0.884914413
80763,8904582,0,0.883939907
596387,18302047,0,0.883044728
2046833,23585211,0,0.881662479
191982,19001951,0,0.878667521
596490,20084432,1,0.878181756
2089315,23379631,0,0.877490483
98386,18197308,0,0.874860813
196494,16556581,0,0.874265685
3418897,27458717,0,0.87230012
2535207,25212280,0,0.871894214
1258310,22726801,0,0.870731196
1255144,21778006,1,0.870127359
2082194,24148924,1,0.869102804
1321967,22732554,1,0.867098229
87885,16263524,1,0.867015427
3398697,23517047,0,0.8654248
1258305,22835955,1,0.864884063
548788,20003306,0,0.864754853
2345875,24667535,0,0.863962294
1258306,22544506,1,0.863653692
2965904,26105036,1,0.862423839
1520605,23413962,1,0.861351751
2349643,24935943,0,0.860822829
2534694,25277399,1,0.858920019
1511288,23406673,1,0.858535187
2333447,24024529,0,0.856028081
3455296,27940104,1,0.85527156
1701,10715622,0,0.854821519
1537218,22662024,0,0.852166711
3268342,26031549,1,0.851455395
3224121,26944405,1,0.850797906
2799234,22921799,1,0.84796802
2369665,24879653,0,0.847355406
156515,18709144,0,0.846662275
666323,20980218,0,0.846587918
55618,14626898,0,0.844453662
757778,21700892,0,0.840249052
749271,21043989,0,0.838674208
643927,20735151,0,0.838416634
674869,21216881,1,0.838415219
2857917,25794412,1,0.838321821
4331267,26337519,0,0.837146407
749394,21147959,0,0.835207276
57299,14754762,0,0.834669887
82679,21781722,0,0.833618956
4166831,29279932,1,0.833597533
1256404,22249240,0,0.832990768
838398,19740523,0,0.831783037
602060,19525614,0,0.831128541
190026,19176365,0,0.830279621
89443,16020647,0,0.829724441
3223159,27085496,1,0.829456464
1291204,23008268,1,0.829191527
196719,19076539,1,0.829082735
2234768,23994839,0,0.827052366
1754125,23650127,1,0.826333028
3273677,27642250,1,0.825745767
596412,17325978,0,0.823562413
2826807,25601734,1,0.822363825
93491,11673219,0,0.822025221
2094221,24004483,1,0.821904504
677632,20965803,1,0.821273974
785516,20595912,0,0.818965968
1519563,23522615,1,0.818737147
3386323,23151347,0,0.817428032
1642832,23770178,0,0.816873874
3841341,28657878,1,0.816636591
733688,21516040,1,0.81608265
195721,19010988,0,0.813609475
1520852,23386578,1,0.813215088
3074592,26667328,1,0.812940185
4166779,28767987,1,0.812785954
195755,18513427,1,0.812153627
4246711,28657893,0,0.811320352
4310143,23922270,0,0.811173402
2229739,24561926,0,0.810290506
783468,21868505,0,0.810188731
48168,12871968,1,0.810162159
2353753,24657516,1,0.809649478
1255482,22534026,0,0.808310209
200760,19762564,0,0.808118525
749266,21352838,0,0.807527405
596644,19281908,1,0.807500431
197786,18083976,0,0.807419715
670076,20667084,1,0.805477973
2331765,23838152,1,0.805455949
4300114,22263561,0,0.805280898
677665,20693596,0,0.800741302
3383935,24506578,0,0.798969858
196638,17028419,0,0.797615796
625022,20227069,0,0.796984287
815264,22094855,0,0.795580247
2462189,24434594,1,0.794708308
749185,20947676,1,0.793824901
2344826,24927060,0,0.793791656
3383292,23131300,0,0.793018991
1935368,23884878,0,0.792479457
1325281,22380512,0,0.790665945
475317,18030618,0,0.790035184
2234478,24022815,1,0.789503321
869193,22074722,0,0.788973293
190273,18335104,1,0.786896243
3384703,22213815,0,0.78668324
3026326,26270333,0,0.786521333
749414,21623970,0,0.786392683
1065939,15660518,0,0.786112139
2527664,22563867,0,0.784720792
1419408,22977167,1,0.784419514
1818669,23802774,0,0.783613218
194311,19059883,0,0.782994246
3602794,28259583,0,0.782531323
194358,16516968,1,0.781783719
2834550,25609560,0,0.781598375
2843865,25838073,1,0.779738777
1727809,23177781,0,0.779311336
155731,18779445,0,0.778836451
646655,20832787,0,0.778315856
618629,19447899,1,0.777111538
832573,21888674,0,0.776138692
2215638,24169565,1,0.776009679
2272054,23812175,0,0.775889657
2365129,24733882,0,0.775245192
3384504,26864619,0,0.774993062
1521393,23327098,0,0.774105171
647100,20472526,0,0.773391881
1521118,23357184,1,0.773086578
785805,21570068,0,0.772843033
4321621,25219315,0,0.771984515
3294254,26412200,1,0.771922631
156254,18560490,1,0.771405485
195638,15753639,0,0.770435403
2534071,25358842,0,0.76960834
3383508,21107619,0,0.76568196
3426159,27491839,1,0.764825931
