REFERENCE_ID,PMID,WOSID,DOI,TITLE,AUTHORS,YEAR,ABSTRACT,header_num_2013,header_text_2013,header_num_2020,header_text_2020
568,10092402,WOS:000079413900006,10.1006/enrs.1998.3894,Long-term ambient ozone concentration and the incidence of asthma in nonsmoking adults: the Ahsmog study,"McDonnell, WF; Abbey, DE; Nishino, N; Lebowitz, MD",1999,"U.S. Environmental Protection Agency; California Air Resources Board.  #We conducted a prospective study of a cohort of 3091 nonsmokers, ages 27 to 87 years, to evaluate the association between long-term ambient ozone exposure and development of adult-onset asthma. Over a 15-year period, 3.2% of males and 4.3% of females reported new doctor diagnoses of asthma. For males, we observed a significant relationship between report of doctor diagnosis of asthma and 20-year mean 8-h average ambient ozone concentration (relative risk (RR) = 2.09 for a 27 ppb increase in ozone concentration, 95% CI = 1.03 to 4.16). We observed no such relationship for females. Other variables significantly related to development of asthma were a history of ever-smoking for males (HR = 237, 95% CI = 1.13 to 4.81), and for females, number of years worked with a smoker (RR  1.21 for a 7-year increment, 95% CI = 1.04 to 1.39), age (RH = 0.61 for a 16-year increment, 95% CI = 0.44 to 0.84), and a history of childhood pneumonia or
bronchitis (RH = 2.96, 95% CI = 1.68 to 5.03). Addition of other pollutants (PM10, SO4, NO2, and SO2) to the models did not diminish the relationship between ozone and asthma for males. These data suggest that long-term exposure to ambient ozone is associated with development of asthma in adult males.",4.3.4.1,Personal Exposure to Ozone and Copollutants,3.2.4.1.1,Epidemiologic Studies
1775,1637960,WOS:000086031400037,10.1289/ehp.00108265,The Harvard Southern California chronic ozone exposure study: Assessing ozone exposure of grade-school-age children in two southern California communities,"Geyh, AS; Xue, J; Ozkaynak, H; Spengler, JD",2000,"The Harvard Southern California Chronic Ozone Exposure Study measured personal exposure to, and indoor and outdoor ozone concentrations of, approximately 200 elementary school children 6-12 years of age for 12 months (June 1995-May 1996). We selected two Southern California communities, Upland and several towns located in the San Bernardino mountains, because certain characteristics of those communities were believed to affect personal exposures. On 6 consecutive days during each study month, participant homes were monitored for indoor and outdoor ozone concentrations, and participating children wore a small passive ozone sampler to measure personal exposure. During each sampling period, the children recorded time-location-activity information in a diary. Ambient ozone concentration data were obtained from air quality monitoring stations in the study areas. We present ozone concentration data for she ozone season (June-September 1995 and May 1996) and the nonozone season (October 1995-April 1996). During the ozone season, outdoor and indoor concentrations and personal exposure averaged 48.2, 11.8, and 18.8 ppb in Upland and 60.1, 21.4, and 25.4 ppb in the mountain towns, respectively. During the nonoxone season, outdoor and indoor concentrations and personal exposure averaged 21.1, 3.2, and 6.2 ppb in Upland, and 35.7, 2.8, and 5.7 ppb in the mountain towns, respectively. Personal exposure differed by community and sex, but not by age group.",4.3.2,Indoor-Outdoor Concentration Relationships,8.12.3,Weather and Climate
1852,10939211,WOS:000088491900012,10.1080/10473289.2000.10464165,"Assessing the relationship between personal particulate and gaseous exposures of senior citizens living in Baltimore, MD","Sarnat, JA; Koutrakis, P; Suh, HH",2000,"We conducted a multi-pollutant exposure study in Baltimore, MD, in which 15 non-smoking older adult subjects (>64 years old) wore a multi-pollutant sampler for 12 days during the summer of 1998 and the winter of 1999. The sampler measured simultaneous 24-hr integrated personal exposures to PM25, PM10, SO4 2-, O3, NO2, SO2, and exhaust-related VOCs.

Results of this study showed that longitudinal associations between ambient PM2.5 concentrations and corresponding personal exposures tended to be high in the summer (median Spearman's r = 0.74) and low in the winter (median Spearman's r = 0.25). Indoor ventilation was an important determinant of personal PM2.5 exposures and resulting personal-ambient associations. Associations between personal PM25 exposures and corresponding ambient concentrations were strongest for well-ventilated indoor environments and decreased with ventilation. This decrease was attributed to the increasing influence of indoor PM2 5 sources. Evidence for this was provided by SO4 2-measurements, which can be thought of as a tracer for ambient PM25. For SO4 2-, personal-ambient associations were strong even in poorly ventilated indoor environments, suggesting that personal exposures to PM2.5 of ambient origin are strongly associated with corresponding ambient concentrations. The results also indicated that the contribution of indoor PM2.5 sources to personal PM2.5 exposures was lowest when individuals spent the majority of their time in well-ventilated indoor environments.

Results also indicate that the potential for confounding by PM2.5 co-pollutants is limited, despite significant correlations among ambient pollutant concentrations. In contrast to ambient concentrations, PM2.5 exposures were not significantly correlated with personal exposures to PM2.5-10, PM2.5 of non-ambient origin, O3, NO2, and SO2. Since a confounder must be associated with the exposure of interest, these results provide evidence that the effects observed in the PM2.5 epidemiologic studies are unlikely to be due to confounding by the PM2.5 co-pollutants measured in this study.",4.3.3,Personal-Ambient Concentration Relationships,2.2,Exposure Concepts
1949,10811568,WOS:000087140700026,10.1289/ehp.00108419,Exposure measurement error in time-series studies of air pollution: Concepts and consequences,"Zeger, SL; Thomas, D; Dominici, F; Samet, JM; Schwartz, J; Dockery, D; Cohen, A",2000,"Misclassification of exposure is a well-recognized inherent limitation of epidemiologic studies of disease and the environment. For many agents of interest, exposures take place over time and in multiple locations; accurately estimating the relevant exposures for an individual participant in epidemiologic studies is often daunting, particularly within the limits set by feasibility, participant burden, and cost. Researchers have taken steps to deal with the consequences of measurement error by limiting the degree of error through a study's design, estimating the degree of error using a nested validation study, and by adjusting for measurement error in statistical analyses. In this paper, we address measurement error in observational studies of air pollution and health. Because measurement error may have substantial implications for interpreting epidemiologic studies on air pollution, particularly the time-series analyses, we developed a systematic conceptual formulation of the problem of measurement error in epidemiologic studies of air pollution and then considered the consequences within this formulation. When possible, we used available relevant data to make simple estimates of measurement error effects. This paper provides an overview of measurement errors in linear regression, distinguishing two extremes of a continuum-Berkson from classical type errors, and the univariate from the multivariate predictor case. We then propose one conceptual framework for the evaluation of measurement errors in the log-linear regression used for time-series studies of particulate air pollution and mortality and identify three main components of error. We present new simple analyses of data on exposures of particulate matter < 10 ""mu""m in aerodynamic diameter from the Particle Total Exposure Assessment Methodology Study. Finally, we summarize open questions regarding measurement error and suggest the kind of additional data necessary to address them.",4.6,Implications for Epidemiologic Studies,2.5,Copollutant Correlations and Potential for Confounding
10939,10573232,WOS:000083614800021,10.1034/j.1399-3003.1999.14d21.x,Ozone-induced respiratory symptoms: Exposure-response models and association with lung function,"McDonnell, WF; Stewart, PW; Smith, MV; Pan, WK; Pan, J",1999,"U.S. Environmental Protection Agency. #Ozone-induced  respiratory  symptoms are known to be functions of concentration, minute ventilation, and duration of exposure. The purposes of this study were to identify an exposure-response model for symptoms, to determine  whether response was related to age, and to assess the relationships between symptom and lung function responses to ozone. Four hundred and eighty-five healthy male volunteers (ages 18-35 yrs) were exposed to one of six ozone concentrations at one of three activity levels for 2 h. Symptoms and forced expiratory volume in one second (FEV1) were assessed at the end of 1 and 2 h. The exposure and response data were fitted by a nonlinear exposure-response model previously found to describe FEV1 response. The proportion of individuals experiencing moderate or severe cough, shortness of breath, and pain on deep inspiration were accurately described as functions of concentration, minute ventilation, and time. Response was inversely related to age for shortness of breath (p=0.0001), pain on deep inspiration (p=0.0002), and cough (p=0.0013). Controlling for exposure differences, symptom responses were significantly but  weakly (correlation coefficient 0.30-0.41) related to the FEV1 response. In conclusion, the exposure-response model did accurately predict symptoms, response was inversely related to age.",6.2.1.1,Controlled Human Exposure,3.1.4.2.1,Controlled Human Exposure Studies
11973,10910115,WOS:000088155700001,10.1038/sj.jea.7500086,Ozone dose-response effects of varied equivalent minute ventilation rates,"Adams, WC",2000,"While it is well known that exercise minute ventilation (V(E)) results in greater pulmonary function and subjective symptoms (SS) responses upon exposure to a given ozone (O3) dose, the magnitude of V(E) increase to produce a significant forced expiratory volume in 1 s (FEV1.0) response compared to that observed at a lower exercise V(E) for the same O3 concentration and exposure time is unclear, especially in prolonged (i.e., >2 h) exposures. Further, in prolonged exposures, the relationship of body size to FEV1.0 response to a given O3 exposure dose has not been systematically examined. In the present study, 30 young adults were exposed on four occasions for 6 h (during a 6.6-h period) to constant 03 levels of zero (filtered air, FA) or 0.12 parts per million (ppm). At the latter concentration, exercise V(E) was varied in exposures to 17, 20, and 23 l min(-1) m(-2) of BSA, respectively, for each individual to achieve an equivalent ventilation rate, EVR). In the FA exposure, EVR was 23 l min(-1) m2. Percent changes in FEV1.0 for the three 0.12 ppm O3 exposures were significantly greater than that for FA, but did not differ significantly from each other. For the 6.6-h exposures, exercise EVR at or in excess of 17 l min(-1) m(-2), SS values were significantly greater than those observed for the FA protocol. Further, SS values at 6.6 h of exposure to 0.12 ppm O3 for the exercise EVR of 23 l min(-1) m(-2) protocol were significantly greater than for the 0.12 ppm O3 exercise EVR of 17 l min(-1) m(-2) protocol. To achieve a widened EVR, two 1-h exposures to 0.30 ppm O3 with continuous exercise (CE) at a level necessitating an EVR of 17 and approximately 34 l min(-1) m(-2), respectively, were completed by each subject. All postexposure pulmonary function and SS responses were significantly greater for the higher 1-h EVR protocol. In all exposures with significant O3-induced changes in FEV1.0 and SS, it was found that the smaller subjects who exercised at the lowest absolute V(E) had significantly smaller responses than did the larger subjects. These results strongly suggest that for the O3 concentrations and exposure durations used in this study, the effect of V(E) on O3-induced FEV1.0 and SS responses is not body-size-dependent.",6.2.1.1,Controlled Human Exposure,3.1.4.1.1,Controlled Human Exposure Studies
13133,12825151,WOS:000183787200002,10.1080/08958370390217828,Relation of pulmonary responses induced by 66-h exposures to 0.08 ppm ozone and 2-h exposures to 0.30 ppm ozone via chamber and face-mask inhalation,"Adams, WC",2003,"American Petroleum Institute (00-0000-4127). While direct comparison of pulmonary responses to 6.6-h exposures to 0.08 to 0.12 ppm ozone (O(3)) have demonstrated that chamber and face-mask inhalation methods yield closely similar results, no comparative study of responses to 2-h intermittent exercise (IE) exposures to higher O(3) concentrations have been reported. The present study was designed to achieve three primary objectives: (1) to compare pulmonary function and symptoms effects of a 2-h IE exposure to 0.30 ppm O(3) via chamber and via face mask; (2) to compare the pulmonary effects of 6.6-h chamber exposure to 0.08 ppm O(3) to those observed in 2-h IE 0.30 ppm O(3) exposures via chamber and via face mask; and (3) to examine filtered air (FA) recovery pulmonary and symptoms responses following chamber exposures of 6.6 h to 0.08 ppm O(3) and 2 h to 0.30 ppm O(3). A simple regression of postexposure percent change in FEV(1.0) for the 2-h IE, 0.30-ppm O(3) chamber exposure as a function of postexposure percent change in FEV(1.0) for the 2-h IE, 0.30-ppm O(3) exposure with face mask yielded an R(2) of.83. Further, a regression of the postexposure FEV(1.0) response to the chamber 6.6-h, 0.08-ppm O(3) exposure as a function of postexposure FEV(1.0) response to the face mask 2-h IE, 0.30-ppm O(3) exposure (R(2) of.34) was similar to the.40 value obtained for the two chamber exposures FEV(1.0) response comparison. Results of the 1.4-h FA recovery following the two chamber O(3) exposures showed different rates of FEV(1.0) and symptoms rectification that appeared related to the total O(3) dose (product of O(3) concentration, ventilation rate, and duration). More data are needed to clarify short-term recovery of O(3)-induced pulmonary effects and how they may be related to the more abundant data available on the delayed recovery of pulmonary function seen over longer time periods, such as 24 h.",6.2.1.1,Controlled Human Exposure,3.1.4.1.1,Controlled Human Exposure Studies
13255,11069823,WOS:000165202900043,10.1164/ajrccm.162.5.9908113,The effect of ozone on inner-city children with asthma: Identification of susceptible subgroups,"Mortimer, KM; Tager, IB; Dockery, DW; Neas, LM; Redline, S",2000,"Within a cohort of 846 inner-city asthmatic children aged 4 to 9 yr, we looked for subgroups that were more susceptible to the effects of summer ozone. Daily diaries were compared with ambient ozone levels to evaluate effect modification by demographic and environmental characteristics. Children born > 3 wk prematurely or weighing < 5.5 lb. had greater declines in morning % peak expiratory flow rate (PEFR) (1.8% versus 0.3% per 15 ppb ozone, p < 0.05) and a higher incidence of morning symptoms (odds ratio = 1.42 versus 1.09 per 15 ppb ozone, p < 0.05) than did children who had been full-term infants of normal birthweight. Among children who had been of low birthweight (LBW) or had been premature infants, greater declines were seen among those whose reported baseline medication category was ""no medication"" (3.2% decline) or ""steroids"" (2.7%) as opposed to beta agonists or xanthines (0.8%) or cromolyn without steroids (0.1%). Among the children who had been normal birthweight and full-term infants, the cromolyn without steroids group had the greatest declines in %PEFR (1.3%, versus < 0.5% in each of the other three groups). Nonatopic children also had greater responses to ozone. We conclude that among an asthmatic cohort, children who had had an LBW or a premature birth showed the greatest responses to ozone",6.2,Respiratory Effects,3.1.5.4.3,Epidemiologic Studies
15903,,,,Effects of prolonged simulated ambient ozone dosing patterns on human pulmonary function and symptomatology,"Adams, WC; Ollison, WM",1997,"Because of increased interest in an 8-hour (h) O(3) Federal air quality standard, acute pulmonary function responses to prolonged O(3) exposure between 0.08 and 0.24 parts per million (ppm) have been examined in EPA chamber studies, both in a 6.6-h square wave application and in an 8-h triangular profile application in which the exposure was initiated with 0.00 ppm O(3) and increased steadily to 0.24 ppm during the first 4-h and then steadily decreased back to 0.00 ppm during the last 4-h. These exposures employed quasi-continuous ventilation rates (VE) of about 40 liters per minute (l/mm). However, typical ambient exposures include changing breathing rates and changing O(3) levels that vary both diurnally and as a function of indoor-outdoor behavioral patterns. The latter can be accomplished more readily by a face mask exposure system than in a chamber exposure system. In the present study, 12 young adult subjects were exposed on seven occasions for 6 h (during a 6.6-h period) to both constant and variable O(3) and breathing rate dosing regimens utilizing a newly devised face mask exposure system. Four protocols entailed constant exercise VE (about 40 l/mm) with either constant O(3) levels at zero or 0.12 ppm, or with acute and obtuse triangular O(3) profiles (averaging about 0.12 ppm over 6 h) typical of Los Angeles and New Jersey summer daylight ambient O(3) patterns, respectively. In addition, pulmonary function and symptoms were also measured hourly for three realistic dosing regimens with variable VE and O(3) levels simulating maximally exposed individuals in recent summer camp and outdoor worker studies where activities and breathing rates were continuously monitored. No significant difference in pulmonary function or subjective symptoms responses were observed between the three constant exercise VE protocols in which mean O(3) concentration was 0.12 ppm but the profile varied from constant to acute and obtuse triangular applications. A protocol which employed a constant level 0.12 ppm O(3) exposure but variable work intensity simulating that of an outdoor construction laborer which resulted in a 9% greater mean VE, tended to result in higher pulmonary function impairment than the three constant exercise VE protocols with mean 0.12 ppm O(3) concentration exposure. Subjective symptom responses were similar for these four protocols. Pulmonary function and subjective symptoms responses for these protocols were all significantly different from those observed for the FA exposure. The two exposures simulating VE patterns observed in a child at summer camp and a postal carrier onfoot did not produce pulmonary function or subjective symptoms responses that were significantly different from those for the FA exposure. This was attributed to low mean VE, which was about half that observed for the other four O(3) exposures. It was concluded that less abrupt triangular O(3) exposure applications than that used in an EPA study do not always produce significantly greater pulmonary function responses than those observed in square-wave O(3) exposures at the same mean concentration.",6.2.1.1,Controlled Human Exposure,3.1.4.1.1,Controlled Human Exposure Studies
16186,11053329,WOS:000165054900017,10.1152/jappl.2000.89.5.1804,Bronchial reactivity of healthy subjects: 18-20 h postexposure to ozone,"Foster, WM; Brown, RH; Macri, K; Mitchell, CS",2000,"National Heart, Lung, and Blood Institute (grant HL-62641); National Institute of Environmental Health Sciences (grant ES-03810). Exposure of humans to ambient levels of ozone (O(3)) causes inflammatory changes within lung tissues. These changes have been reported for the ""initial"" (1- to 3-h) and ""late"" (18- to 20-h) postexposure periods. We hypothesized that at the late period, when protein and cellular markers of inflammation at the airway surface remain abnormal and the integrity of the epithelial barrier is compromised, bronchial reactivity would be increased. To test this, we measured airway responsiveness to cumulative doses of methacholine (MCh) aerosol in healthy subjects 19+/-1 h after a single exposure to O(3) (130 min at ambient levels between 120 and 240 parts/billion and alternate periods of rest and moderate exercise) or filtered air. Exposures were conducted at two temperatures: mild (22 degrees C) and moderate (30 degrees C). At the late period, bronchial reactivity to MCh increased, i.e., interpolated dose of MCh leading to a 50% fall in specific airway conductance (PC(50)) was less after O(3) than after filtered air. PC(50) for O(3) at 22 degrees C was 27 mg/ml (20% less than the PC(50) after filtered air), and for O(3) at 30 degrees C it was 19 mg/ml (70% less than the PC(50) after filtered air). The forced expiratory volume in 1 s (FEV(1)) at the late time point after O(3) was slightly but significantly reduced (2.3%) from the preexposure level. There was no relationship found between the functional changes observed early after exposure to O(3) and subsequent changes in bronchial reactivity or FEV(1) at the late time point. These results suggest that bronchial reactivity is significantly altered approximately 1 day after O(3); this injury may contribute to the respiratory morbidity that is observed 1-2 days after an episode of ambient air pollution.",5.3.5,Sensitization of Bronchial Smooth Muscle,3.1.4.1.1,Controlled Human Exposure Studies
